Name,Symbol,Sector
3M,MMM,Industrials
A. O. Smith,AOS,Industrials
Abbott,ABT,Health Care
AbbVie,ABBV,Health Care
Abiomed,ABMD,Health Care
Accenture,ACN,Information Technology
Activision Blizzard,ATVI,Communication Services
ADM,ADM,Consumer Staples
Adobe,ADBE,Information Technology
ADP,ADP,Information Technology
Advance Auto Parts,AAP,Consumer Discretionary
AES,AES,Utilities
Aflac,AFL,Financials
Agilent Technologies,A,Health Care
AIG,AIG,Financials
Air Products,APD,Materials
Akamai,AKAM,Information Technology
Alaska Air Group,ALK,Industrials
Albemarle,ALB,Materials
Alexandria Real Estate Equities,ARE,Real Estate
Align,ALGN,Health Care
Allegion,ALLE,Industrials
Alliant Energy,LNT,Utilities
Allstate,ALL,Financials
Alphabet (Class A),GOOGL,Communication Services
Alphabet (Class C),GOOG,Communication Services
Altria,MO,Consumer Staples
Amazon,AMZN,Consumer Discretionary
Amcor,AMCR,Materials
AMD,AMD,Information Technology
Ameren,AEE,Utilities
American Airlines Group,AAL,Industrials
American Electric Power,AEP,Utilities
American Express,AXP,Financials
American Tower,AMT,Real Estate
American Water,AWK,Utilities
Ameriprise Financial,AMP,Financials
AmerisourceBergen,ABC,Health Care
Ametek,AME,Industrials
Amgen,AMGN,Health Care
Amphenol,APH,Information Technology
Analog Devices,ADI,Information Technology
Ansys,ANSS,Information Technology
Anthem,ANTM,Health Care
Aon,AON,Financials
APA Corporation,APA,Energy
Apple,AAPL,Information Technology
Applied Materials,AMAT,Information Technology
Aptiv,APTV,Consumer Discretionary
Arista,ANET,Information Technology
Arthur J. Gallagher & Co.,AJG,Financials
Assurant,AIZ,Financials
AT&T,T,Communication Services
Atmos Energy,ATO,Utilities
Autodesk,ADSK,Information Technology
AutoZone,AZO,Consumer Discretionary
AvalonBay Communities,AVB,Real Estate
Avery Dennison,AVY,Materials
Baker Hughes,BKR,Energy
Ball,BLL,Materials
Bank of America,BAC,Financials
Bath & Body Works,BBWI,Consumer Discretionary
Baxter,BAX,Health Care
Becton Dickinson,BDX,Health Care
Berkshire Hathaway,BRK.B,Financials
Best Buy,BBY,Consumer Discretionary
Bio-Rad,BIO,Health Care
Bio-Techne,TECH,Health Care
Biogen,BIIB,Health Care
BlackRock,BLK,Financials
BNY Mellon,BK,Financials
Boeing,BA,Industrials
Booking Holdings,BKNG,Consumer Discretionary
BorgWarner,BWA,Consumer Discretionary
Boston Properties,BXP,Real Estate
Boston Scientific,BSX,Health Care
Bristol Myers Squibb,BMY,Health Care
Broadcom,AVGO,Information Technology
Broadridge,BR,Information Technology
Brown & Brown,BRO,Financials
Brown–Forman,BF.B,Consumer Staples
C. H. Robinson,CHRW,Industrials
Cadence,CDNS,Information Technology
Caesars Entertainment,CZR,Consumer Discretionary
Campbell's,CPB,Consumer Staples
Capital One,COF,Financials
Cardinal Health,CAH,Health Care
CarMax,KMX,Consumer Discretionary
Carnival Corporation,CCL,Consumer Discretionary
Carrier Global,CARR,Industrials
Catalent,CTLT,Health Care
Caterpillar,CAT,Industrials
Cboe,CBOE,Financials
CBRE,CBRE,Real Estate
CDW,CDW,Information Technology
Celanese,CE,Materials
Centene,CNC,Health Care
CenterPoint Energy,CNP,Utilities
Ceridian,CDAY,Information Technology
Cerner,CERN,Health Care
CF Industries,CF,Materials
Charles River,CRL,Health Care
Charles Schwab,SCHW,Financials
Charter Communications,CHTR,Communication Services
Chevron,CVX,Energy
Chipotle Mexican Grill,CMG,Consumer Discretionary
Chubb,CB,Financials
Church & Dwight,CHD,Consumer Staples
Cigna,CI,Health Care
Cincinnati Financial,CINF,Financials
Cintas,CTAS,Industrials
Cisco,CSCO,Information Technology
Citigroup,C,Financials
Citizens Financial Group,CFG,Financials
Citrix,CTXS,Information Technology
Clorox,CLX,Consumer Staples
CME Group,CME,Financials
CMS Energy,CMS,Utilities
Coca-Cola,KO,Consumer Staples
Cognizant,CTSH,Information Technology
Colgate-Palmolive,CL,Consumer Staples
Comcast,CMCSA,Communication Services
Comerica,CMA,Financials
Conagra Brands,CAG,Consumer Staples
ConocoPhillips,COP,Energy
Con Edison,ED,Utilities
Constellation Brands,STZ,Consumer Staples
CooperCompanies,COO,Health Care
Copart,CPRT,Industrials
Corning,GLW,Information Technology
Corteva,CTVA,Materials
Costco,COST,Consumer Staples
Coterra,CTRA,Energy
Crown Castle,CCI,Real Estate
CSX,CSX,Industrials
Cummins,CMI,Industrials
CVS Health,CVS,Health Care
D. R. Horton,DHI,Consumer Discretionary
Danaher,DHR,Health Care
Darden,DRI,Consumer Discretionary
DaVita,DVA,Health Care
Deere & Co.,DE,Industrials
Delta Air Lines,DAL,Industrials
Dentsply Sirona,XRAY,Health Care
Devon Energy,DVN,Energy
DexCom,DXCM,Health Care
Diamondback,FANG,Energy
Digital Realty,DLR,Real Estate
Discover,DFS,Financials
Discovery (Series A),DISCA,Communication Services
Discovery (Series C),DISCK,Communication Services
Dish,DISH,Communication Services
Dollar General,DG,Consumer Discretionary
Dollar Tree,DLTR,Consumer Discretionary
Dominion Energy,D,Utilities
Domino's,DPZ,Consumer Discretionary
Dover,DOV,Industrials
Dow,DOW,Materials
DTE,DTE,Utilities
Duke Energy,DUK,Utilities
Duke Realty,DRE,Real Estate
DuPont,DD,Materials
DXC Technology,DXC,Information Technology
Eastman,EMN,Materials
Eaton,ETN,Industrials
eBay,EBAY,Consumer Discretionary
Ecolab,ECL,Materials
Edison International,EIX,Utilities
Edwards Lifesciences,EW,Health Care
Electronic Arts,EA,Communication Services
Emerson,EMR,Industrials
Enphase,ENPH,Information Technology
Entergy,ETR,Utilities
EOG Resources,EOG,Energy
EPAM,EPAM,Information Technology
Equifax,EFX,Industrials
Equinix,EQIX,Real Estate
Equity Residential,EQR,Real Estate
Essex,ESS,Real Estate
Estée Lauder Companies,EL,Consumer Staples
Etsy,ETSY,Consumer Discretionary
Everest,RE,Financials
Evergy,EVRG,Utilities
Eversource,ES,Utilities
Exelon,EXC,Utilities
Expedia Group,EXPE,Consumer Discretionary
Expeditors,EXPD,Industrials
Extra Space Storage,EXR,Real Estate
ExxonMobil,XOM,Energy
F5,FFIV,Information Technology
FactSet,FDS,Financials
Fastenal,FAST,Industrials
Federal Realty Investment Trust,FRT,Real Estate
FedEx,FDX,Industrials
Fidelity National Information Services,FIS,Information Technology
Fifth Third Bancorp,FITB,Financials
FirstEnergy,FE,Utilities
First Republic Bank,FRC,Financials
Fiserv,FISV,Information Technology
Fleetcor,FLT,Information Technology
FMC Corporation,FMC,Materials
Ford,F,Consumer Discretionary
Fortinet,FTNT,Information Technology
Fortive,FTV,Industrials
Fortune Brands,FBHS,Industrials
Fox Corporation (Class A),FOXA,Communication Services
Fox Corporation (Class B),FOX,Communication Services
Franklin Resources,BEN,Financials
Freeport-McMoRan,FCX,Materials
Gap,GPS,Consumer Discretionary
Garmin,GRMN,Consumer Discretionary
Gartner,IT,Information Technology
Generac Holdings,GNRC,Industrials
General Dynamics,GD,Industrials
General Electric,GE,Industrials
General Mills,GIS,Consumer Staples
General Motors,GM,Consumer Discretionary
Genuine Parts,GPC,Consumer Discretionary
Gilead Sciences,GILD,Health Care
Globe Life,GL,Financials
Global Payments,GPN,Information Technology
Goldman Sachs,GS,Financials
W. W. Grainger,GWW,Industrials
Halliburton,HAL,Energy
The Hartford,HIG,Financials
Hasbro,HAS,Consumer Discretionary
HCA Healthcare,HCA,Health Care
Healthpeak Properties,PEAK,Real Estate
Henry Schein,HSIC,Health Care
The Hershey Company,HSY,Consumer Staples
Hess Corporation,HES,Energy
Hewlett Packard Enterprise,HPE,Information Technology
Hilton Worldwide,HLT,Consumer Discretionary
Hologic,HOLX,Health Care
Home Depot,HD,Consumer Discretionary
Honeywell,HON,Industrials
Hormel,HRL,Consumer Staples
Host Hotels & Resorts,HST,Real Estate
Howmet Aerospace,HWM,Industrials
HP,HPQ,Information Technology
Humana,HUM,Health Care
Huntington Bancshares,HBAN,Financials
Huntington Ingalls Industries,HII,Industrials
IDEX Corporation,IEX,Industrials
Idexx Laboratories,IDXX,Health Care
IHS Markit,INFO,Industrials
Illinois Tool Works,ITW,Industrials
Illumina,ILMN,Health Care
Incyte,INCY,Health Care
Ingersoll Rand,IR,Industrials
Intel,INTC,Information Technology
Intercontinental Exchange,ICE,Financials
IBM,IBM,Information Technology
International Paper,IP,Materials
Interpublic Group,IPG,Communication Services
International Flavors & Fragrances,IFF,Materials
Intuit,INTU,Information Technology
Intuitive Surgical,ISRG,Health Care
Invesco,IVZ,Financials
IPG Photonics,IPGP,Information Technology
IQVIA,IQV,Health Care
Iron Mountain,IRM,Real Estate
Jack Henry & Associates,JKHY,Information Technology
Jacobs Engineering Group,J,Industrials
J. B. Hunt,JBHT,Industrials
JM Smucker,SJM,Consumer Staples
Johnson & Johnson,JNJ,Health Care
Johnson Controls,JCI,Industrials
JPMorgan Chase,JPM,Financials
Juniper Networks,JNPR,Information Technology
Kellogg's,K,Consumer Staples
KeyCorp,KEY,Financials
Keysight Technologies,KEYS,Information Technology
Kimberly-Clark,KMB,Consumer Staples
Kimco Realty,KIM,Real Estate
Kinder Morgan,KMI,Energy
KLA Corporation,KLAC,Information Technology
Kraft Heinz,KHC,Consumer Staples
Kroger,KR,Consumer Staples
L3Harris Technologies,LHX,Industrials
LabCorp,LH,Health Care
Lam Research,LRCX,Information Technology
Lamb Weston,LW,Consumer Staples
Las Vegas Sands,LVS,Consumer Discretionary
Leidos,LDOS,Industrials
Lennar,LEN,Consumer Discretionary
Eli Lilly,LLY,Health Care
Lincoln National,LNC,Financials
Linde,LIN,Materials
Live Nation Entertainment,LYV,Communication Services
LKQ Corporation,LKQ,Consumer Discretionary
Lockheed Martin,LMT,Industrials
Loews Corporation,L,Financials
Lowe's,LOW,Consumer Discretionary
Lumen Technologies,LUMN,Communication Services
LyondellBasell,LYB,Materials
M&T Bank,MTB,Financials
Marathon Oil,MRO,Energy
Marathon Petroleum,MPC,Energy
MarketAxess,MKTX,Financials
Marriott International,MAR,Consumer Discretionary
Marsh & McLennan,MMC,Financials
Martin Marietta Materials,MLM,Materials
Masco,MAS,Industrials
Mastercard,MA,Information Technology
Match Group,MTCH,Communication Services
McCormick & Company,MKC,Consumer Staples
McDonald's,MCD,Consumer Discretionary
McKesson Corporation,MCK,Health Care
Medtronic,MDT,Health Care
Merck,MRK,Health Care
Meta Platforms,FB,Communication Services
MetLife,MET,Financials
Mettler Toledo,MTD,Health Care
MGM Resorts International,MGM,Consumer Discretionary
Microchip Technology,MCHP,Information Technology
Micron Technology,MU,Information Technology
Microsoft,MSFT,Information Technology
Mid-America Apartments,MAA,Real Estate
Moderna,MRNA,Health Care
Mohawk Industries,MHK,Consumer Discretionary
Molson Coors,TAP,Consumer Staples
Mondelez International,MDLZ,Consumer Staples
Monolithic Power Systems,MPWR,Information Technology
Monster Beverage,MNST,Consumer Staples
Moody's,MCO,Financials
Morgan Stanley,MS,Financials
The Mosaic Company,MOS,Materials
Motorola Solutions,MSI,Information Technology
MSCI,MSCI,Financials
Nasdaq,NDAQ,Financials
NetApp,NTAP,Information Technology
Netflix,NFLX,Communication Services
Newell Brands,NWL,Consumer Discretionary
Newmont,NEM,Materials
News Corp (Class A),NWSA,Communication Services
News Corp (Class B),NWS,Communication Services
NextEra Energy,NEE,Utilities
Nielsen Holdings,NLSN,Industrials
Nike,NKE,Consumer Discretionary
NiSource,NI,Utilities
Norfolk Southern,NSC,Industrials
Northern Trust,NTRS,Financials
Northrop Grumman,NOC,Industrials
NortonLifeLock,NLOK,Information Technology
Norwegian Cruise Line Holdings,NCLH,Consumer Discretionary
NRG Energy,NRG,Utilities
Nucor,NUE,Materials
Nvidia,NVDA,Information Technology
NVR,NVR,Consumer Discretionary
NXP,NXPI,Information Technology
O'Reilly Automotive,ORLY,Consumer Discretionary
Occidental Petroleum,OXY,Energy
Old Dominion Freight Line,ODFL,Industrials
Omnicom Group,OMC,Communication Services
Oneok,OKE,Energy
Oracle,ORCL,Information Technology
Organon & Co.,OGN,Health Care
Otis Worldwide,OTIS,Industrials
Paccar,PCAR,Industrials
Packaging Corporation of America,PKG,Materials
Parker-Hannifin,PH,Industrials
Paychex,PAYX,Information Technology
Paycom,PAYC,Information Technology
PayPal,PYPL,Information Technology
Penn National Gaming,PENN,Consumer Discretionary
Pentair,PNR,Industrials
People's United Financial,PBCT,Financials
PepsiCo,PEP,Consumer Staples
PerkinElmer,PKI,Health Care
Pfizer,PFE,Health Care
Philip Morris International,PM,Consumer Staples
Phillips 66,PSX,Energy
Pinnacle West Capital,PNW,Utilities
Pioneer Natural Resources,PXD,Energy
PNC Financial Services,PNC,Financials
Pool Corporation,POOL,Consumer Discretionary
PPG Industries,PPG,Materials
PPL,PPL,Utilities
Principal Financial Group,PFG,Financials
Procter & Gamble,PG,Consumer Staples
Progressive Corporation,PGR,Financials
Prologis,PLD,Real Estate
Prudential Financial,PRU,Financials
PSEG,PEG,Utilities
PTC,PTC,Information Technology
Public Storage,PSA,Real Estate
PulteGroup,PHM,Consumer Discretionary
PVH,PVH,Consumer Discretionary
Qorvo,QRVO,Information Technology
Quanta Services,PWR,Industrials
Qualcomm,QCOM,Information Technology
Quest Diagnostics,DGX,Health Care
Ralph Lauren Corporation,RL,Consumer Discretionary
Raymond James Financial,RJF,Financials
Raytheon Technologies,RTX,Industrials
Realty Income Corporation,O,Real Estate
Regency Centers,REG,Real Estate
Regeneron Pharmaceuticals,REGN,Health Care
Regions Financial Corporation,RF,Financials
Republic Services,RSG,Industrials
ResMed,RMD,Health Care
Robert Half International,RHI,Industrials
Rockwell Automation,ROK,Industrials
Rollins,ROL,Industrials
Roper Technologies,ROP,Industrials
Ross Stores,ROST,Consumer Discretionary
Royal Caribbean Group,RCL,Consumer Discretionary
S&P Global,SPGI,Financials
Salesforce,CRM,Information Technology
SBA Communications,SBAC,Real Estate
Schlumberger,SLB,Energy
Seagate Technology,STX,Information Technology
Sealed Air,SEE,Materials
Sempra Energy,SRE,Utilities
ServiceNow,NOW,Information Technology
Sherwin-Williams,SHW,Materials
Signature Bank,SBNY,Financials
Simon Property Group,SPG,Real Estate
Skyworks Solutions,SWKS,Information Technology
Snap-on,SNA,Industrials
SolarEdge,SEDG,Information Technology
Southern Company,SO,Utilities
Southwest Airlines,LUV,Industrials
Stanley Black & Decker,SWK,Industrials
Starbucks,SBUX,Consumer Discretionary
State Street Corporation,STT,Financials
Steris,STE,Health Care
Stryker Corporation,SYK,Health Care
SVB Financial,SIVB,Financials
Synchrony Financial,SYF,Financials
Synopsys,SNPS,Information Technology
Sysco,SYY,Consumer Staples
T-Mobile US,TMUS,Communication Services
T. Rowe Price,TROW,Financials
Take-Two Interactive,TTWO,Communication Services
Tapestry,TPR,Consumer Discretionary
Target,TGT,Consumer Discretionary
TE Connectivity,TEL,Information Technology
Teledyne Technologies,TDY,Industrials
Teleflex,TFX,Health Care
Teradyne,TER,Information Technology
Tesla,TSLA,Consumer Discretionary
Texas Instruments,TXN,Information Technology
Textron,TXT,Industrials
Thermo Fisher Scientific,TMO,Health Care
TJX Companies,TJX,Consumer Discretionary
Tractor Supply Company,TSCO,Consumer Discretionary
Trane Technologies,TT,Industrials
TransDigm Group,TDG,Industrials
The Travelers Companies,TRV,Financials
Trimble,TRMB,Information Technology
Truist Financial,TFC,Financials
Twitter,TWTR,Communication Services
Tyler Technologies,TYL,Information Technology
Tyson Foods,TSN,Consumer Staples
UDR,UDR,Real Estate
Ulta Beauty,ULTA,Consumer Discretionary
U.S. Bancorp,USB,Financials
Under Armour (Class A),UAA,Consumer Discretionary
Under Armour (Class C),UA,Consumer Discretionary
Union Pacific,UNP,Industrials
United Airlines,UAL,Industrials
UnitedHealth Group,UNH,Health Care
United Parcel Service,UPS,Industrials
United Rentals,URI,Industrials
Universal Health Services,UHS,Health Care
Valero Energy,VLO,Energy
Ventas,VTR,Real Estate
Verisign,VRSN,Information Technology
Verisk Analytics,VRSK,Industrials
Verizon Communications,VZ,Communication Services
Vertex Pharmaceuticals,VRTX,Health Care
VF Corporation,VFC,Consumer Discretionary
ViacomCBS,VIAC,Communication Services
Viatris,VTRS,Health Care
Visa,V,Information Technology
Vornado Realty Trust,VNO,Real Estate
Vulcan Materials,VMC,Materials
W. R. Berkley Corporation,WRB,Financials
Wabtec,WAB,Industrials
Walmart,WMT,Consumer Staples
Walgreens Boots Alliance,WBA,Consumer Staples
The Walt Disney Company,DIS,Communication Services
Waste Management,WM,Industrials
Waters Corporation,WAT,Health Care
WEC Energy Group,WEC,Utilities
Wells Fargo,WFC,Financials
Welltower,WELL,Real Estate
West Pharmaceutical Services,WST,Health Care
Western Digital,WDC,Information Technology
WestRock,WRK,Materials
Weyerhaeuser,WY,Real Estate
Whirlpool Corporation,WHR,Consumer Discretionary
Williams Companies,WMB,Energy
Willis Towers Watson,WTW,Financials
Wynn Resorts,WYNN,Consumer Discretionary
Xcel Energy,XEL,Utilities
Xilinx,XLNX,Information Technology
Xylem,XYL,Industrials
Yum! Brands,YUM,Consumer Discretionary
Zebra Technologies,ZBRA,Information Technology
Zimmer Biomet,ZBH,Health Care
Zions Bancorp,ZION,Financials
Zoetis,ZTS,Health Care
